"id","population_total","population_male","population_female","year","unemp_benefit_number_total","unemp_benefit_number_male","unemp_benefit_number_female","unemp_benefit_yen_total","unemp_benefit_yen_male","unemp_benefit_yen_female","date","prefec_kanji","prefec"
6,1055,511,544,2021,306.54028436018956,274.55968688845405,336.58088235294116,344301.7952606635,345002.5166340509,343643.58088235295,"2021-10-01","山形","Yamagata"
6,1055,511,544,2021,300.37914691943126,274.7553816046967,324.4485294117647,333995.65497630334,339270.5929549902,329040.70404411765,"2021-11-01","山形","Yamagata"
6,1055,511,544,2021,285.49763033175356,263.2093933463796,306.43382352941177,326428.9772511848,333370.14872798434,319908.8694852941,"2021-12-01","山形","Yamagata"
7,1812,894,918,2021,352.98013245033115,316.66666666666663,388.3442265795207,459919.9646799117,464182.6689038031,455768.7037037037,"2021-01-01","福島","Fukushima"
7,1812,894,918,2021,324.50331125827813,298.76957494407156,349.56427015250546,365306.1716335541,379277.30760626396,351700.29411764705,"2021-02-01","福島","Fukushima"
7,1812,894,918,2021,334.2163355408389,311.85682326621924,355.99128540305014,440600.7991169978,458565.03355704696,423106.21786492376,"2021-03-01","福島","Fukushima"
7,1812,894,918,2021,336.64459161147903,319.2393736017897,353.5947712418301,406715.93653421634,433381.01230425056,380747.9869281046,"2021-04-01","福島","Fukushima"
7,1812,894,918,2021,333.71964679911696,302.4608501118568,364.16122004357294,382184.3570640177,394059.451901566,370619.72222222225,"2021-05-01","福島","Fukushima"
7,1812,894,918,2021,394.205298013245,354.13870246085014,433.22440087145975,524534.7649006622,536517.4418344519,512865.3605664488,"2021-06-01","福島","Fukushima"
7,1812,894,918,2021,390.2317880794702,349.3288590604027,430.06535947712416,472315.68101545254,471570.6912751678,473041.19389978214,"2021-07-01","福島","Fukushima"
7,1812,894,918,2021,401.8763796909492,365.88366890380314,436.92810457516333,517179.8730684327,524735.2170022371,509822.0544662309,"2021-08-01","福島","Fukushima"
7,1812,894,918,2021,378.25607064017663,344.40715883668906,411.22004357298476,500805.71743929357,510231.0861297539,491626.76361655776,"2021-09-01","福島","Fukushima"
7,1812,894,918,2021,357.83664459161145,323.60178970917224,391.1764705882353,443567.4895143488,445397.44295302016,441785.3779956427,"2021-10-01","福島","Fukushima"
7,1812,894,918,2021,337.74834437086093,305.3691275167785,369.281045751634,415375.83774834435,421599.9418344519,409314.45533769066,"2021-11-01","福島","Fukushima"
7,1812,894,918,2021,341.33554083885207,314.98881431767336,366.99346405228755,421276.0298013245,432158.3322147651,410678.2320261438,"2021-12-01","福島","Fukushima"
8,2852,1423,1428,2021,287.4824684431978,276.9501054111033,298.1792717086835,399053.2051192146,431915.4778636683,366585.44537815126,"2021-01-01","茨城","Ibaraki"
8,2852,1423,1428,2021,271.24824684431974,265.2846099789178,277.38095238095235,321883.6192145863,353794.74490513,290309.63585434173,"2021-02-01","茨城","Ibaraki"
8,2852,1423,1428,2021,276.0869565217391,267.04146170063245,285.29411764705884,379408.0999298738,413848.1004919185,345354.37955182075,"2021-03-01","茨城","Ibaraki"
8,2852,1423,1428,2021,268.75876577840114,262.05200281096273,275.6302521008403,337504.1360448808,366577.3914265636,308769.02521008404,"2021-04-01","茨城","Ibaraki"
8,2852,1423,1428,2021,283.97615708274895,266.4792691496838,301.6106442577031,350119.18548387097,375946.09697821504,324627.88585434173,"2021-05-01","茨城","Ibaraki"
8,2852,1423,1428,2021,316.4446002805049,291.49683766690094,341.5266106442577,432602.1328892006,451541.8144764582,414031.7093837535,"2021-06-01","茨城","Ibaraki"
8,2852,1423,1428,2021,327.80504908835906,299.4378074490513,356.3025210084034,424156.4449509116,441302.18482080114,407367.7675070028,"2021-07-01","茨城","Ibaraki"
8,2852,1423,1428,2021,330.1192145862553,300.6324666198173,359.73389355742296,438076.4393408135,455250.0716795502,421269.7149859944,"2021-08-01","茨城","Ibaraki"
8,2852,1423,1428,2021,317.9172510518934,292.1995783555868,343.76750700280115,442257.152173913,461300.2178496135,423590.46778711485,"2021-09-01","茨城","Ibaraki"
8,2852,1423,1428,2021,300.84151472650774,279.901616303584,321.9187675070028,375161.6283309958,395435.27547434997,355221.6855742297,"2021-10-01","茨城","Ibaraki"
8,2852,1423,1428,2021,305.0490883590463,290.86437104708364,319.3977591036415,394214.4028751753,423624.6957132818,365183.1477591036,"2021-11-01","茨城","Ibaraki"
8,2852,1423,1428,2021,286.6058906030855,274.27969079409695,299.08963585434174,373760.3366058906,403674.11314125085,344213.03711484594,"2021-12-01","茨城","Ibaraki"
9,1921,958,963,2021,338.10515356585114,325.7828810020877,350.36344755970924,450697.47683498176,480815.67432150315,420735.65628245065,"2021-01-01","栃木","Tochigi"
9,1921,958,963,2021,321.39510671525244,315.4488517745303,327.31048805815163,368590.6590317543,404454.55845511483,332912.968847352,"2021-02-01","栃木","Tochigi"
9,1921,958,963,2021,324.1540864133264,313.46555323590815,334.7871235721703,430486.16449765745,469470.15762004175,391704.5804776739,"2021-03-01","栃木","Tochigi"
9,1921,958,963,2021,319.1566892243623,312.00417536534445,326.27206645898235,408814.1270171786,448498.09707724425,369336.20041536866,"2021-04-01","栃木","Tochigi"
9,1921,958,963,2021,300.5205622071838,278.81002087682674,322.11838006230533,349732.28578865173,371291.93319415447,328284.57840083074,"2021-05-01","栃木","Tochigi"
9,1921,958,963,2021,357.0536179073399,331.6283924843424,382.34683281412254,475457.41592920356,502153.3496868476,448900.0903426791,"2021-06-01","栃木","Tochigi"
9,1921,958,963,2021,363.45653305570016,332.2546972860125,394.4963655244029,453903.9042165539,471268.4269311065,436629.53997923154,"2021-07-01","栃木","Tochigi"
9,1921,958,963,2021,361.1660593440916,332.3590814196242,389.82346832814125,466297.48724622594,477631.97286012524,455021.8515057113,"2021-08-01","栃木","Tochigi"
9,1921,958,963,2021,350.7548152004165,327.5574112734864,373.8317757009346,457578.64237376367,474294.1586638831,440949.91484942887,"2021-09-01","栃木","Tochigi"
9,1921,958,963,2021,332.8995314940135,318.580375782881,347.14434060228456,418093.4554919313,443748.68371607515,392571.43198338524,"2021-10-01","栃木","Tochigi"
9,1921,958,963,2021,321.65538781884436,310.5427974947808,332.7102803738318,394280.01093180635,429620.2933194155,359123.21910695743,"2021-11-01","栃木","Tochigi"
9,1921,958,963,2021,320.5101509630401,315.86638830897704,325.1298026998962,406125.0484122853,448329.83089770353,364139.3977154725,"2021-12-01","栃木","Tochigi"
10,1927,953,974,2021,343.27970939283864,344.0713536201469,342.50513347022587,451387.16658017645,507492.7313746065,396491.2700205339,"2021-01-01","群馬","Gunma"
10,1927,953,974,2021,318.52620653866114,318.6778593913956,318.37782340862424,368739.8988064349,412601.98950682057,325823.5,"2021-02-01","群馬","Gunma"
10,1927,953,974,2021,313.38868707836014,313.85099685204614,312.9363449691992,416090.45407368965,471307.036726128,362064.3726899384,"2021-03-01","群馬","Gunma"
10,1927,953,974,2021,299.94810586403736,298.95068205666314,300.9240246406571,375236.35028541775,414794.67471143755,336530.92607802874,"2021-04-01","群馬","Gunma"
