"prefec_kanji","date","households_total","households_receive","households_suspend","persons_total","persons_receive","persons_suspend","households_start","households_end","prefec","id","year","month","population_total","population_male","population_female"
"福島","2021-05-01",782.8366445916115,780.9050772626931,1.9315673289183224,955.5739514348786,953.5871964679911,1.9867549668874174,8.664459161147903,10.65121412803532,"Fukushima",7,2021,5,1812,894,918
"福島","2021-06-01",780.8498896247241,778.8079470198676,2.041942604856512,951.766004415011,949.6136865342164,2.152317880794702,8.664459161147903,10.32008830022075,"Fukushima",7,2021,6,1812,894,918
"福島","2021-07-01",780.6291390728477,778.6423841059602,1.9867549668874174,951.9867549668874,949.7792494481237,2.207505518763797,10.099337748344372,8.554083885209714,"Fukushima",7,2021,7,1812,894,918
"福島","2021-08-01",779.8565121412803,777.924944812362,1.9315673289183224,950.4415011037528,948.289183222958,2.152317880794702,7.781456953642383,10.044150110375275,"Fukushima",7,2021,8,1812,894,918
"福島","2021-09-01",780.9602649006623,778.8631346578367,2.097130242825607,951.766004415011,949.4481236203092,2.3178807947019866,11.147902869757175,7.781456953642383,"Fukushima",7,2021,9,1812,894,918
"福島","2021-10-01",782.7262693156733,780.4635761589404,2.262693156732892,953.9183222958056,951.0485651214129,2.869757174392936,9.547461368653423,10.099337748344372,"Fukushima",7,2021,10,1812,894,918
"福島","2021-11-01",783.9403973509934,782.1743929359824,1.7660044150110374,954.8013245033113,952.924944812362,1.8763796909492272,11.313465783664459,8.49889624724062,"Fukushima",7,2021,11,1812,894,918
"福島","2021-12-01",786.58940397351,784.9889624724062,1.6004415011037527,956.2362030905078,954.3598233995585,1.8763796909492272,11.147902869757175,10.154525386313466,"Fukushima",7,2021,12,1812,894,918
"福島","2022-01-01",784.1059602649007,782.5055187637969,1.6004415011037527,952.8145695364237,950.9381898454747,1.8763796909492272,7.6158940397351,9.105960264900661,"Fukushima",7,2022,1,1812,894,918
"福島","2022-02-01",784.0507726269316,782.2847682119206,1.7660044150110374,951.766004415011,949.7792494481237,1.9867549668874174,9.050772626931568,8.719646799116997,"Fukushima",7,2022,2,1812,894,918
"福島","2022-03-01",786.3686534216336,784.6026490066225,1.7660044150110374,954.6357615894041,952.7041942604857,1.9315673289183224,11.037527593818984,10.927152317880795,"Fukushima",7,2022,3,1812,894,918
"福島","2022-04-01",784.5474613686533,782.8366445916115,1.7108167770419427,950.9933774834437,949.1721854304636,1.8211920529801324,9.105960264900661,7.339955849889625,"Fukushima",7,2022,4,1812,894,918
"福島","2022-05-01",786.644591611479,785.0441501103753,1.6004415011037527,951.2141280353202,949.5033112582781,1.7108167770419427,9.437086092715232,8.554083885209714,"Fukushima",7,2022,5,1812,894,918
"兵庫","2019-01-01",1435.7403355215172,1428.0087527352298,7.731582786287381,1895.1677607585705,1883.8074398249453,11.360320933625092,10.922684172137126,13.694383661560906,"Hyogo",28,2019,1,5484,2614,2624
"兵庫","2019-02-01",1434.5003646973012,1426.568198395332,7.932166301969365,1892.3231218088986,1880.5798687089716,11.74325309992706,12.454412837345004,14.077315827862874,"Hyogo",28,2019,2,5484,2614,2624
"兵庫","2019-03-01",1432.9504011670315,1425.9117432531,7.038657913931437,1890.2990517870169,1880.0145878920496,10.284463894967178,12.527352297592998,15.116703136396792,"Hyogo",28,2019,3,5484,2614,2624
"兵庫","2019-04-01",1431.0357403355215,1424.070021881838,6.965718453683442,1881.9474835886215,1871.44420131291,10.50328227571116,13.202042304886943,11.943836615609046,"Hyogo",28,2019,4,5484,2614,2624
"兵庫","2019-05-01",1431.4369073668854,1424.325309992706,7.11159737417943,1878.3187454412837,1867.7425237053246,10.576221735959153,12.345003646973012,13.530269876002917,"Hyogo",28,2019,5,5484,2614,2624
"兵庫","2019-06-01",1430.0145878920496,1422.53829321663,7.476294675419402,1873.4865061998541,1862.454412837345,11.032093362509118,12.12618526622903,12.819110138584975,"Hyogo",28,2019,6,5484,2614,2624
"兵庫","2019-07-01",1431.7833698030634,1423.90590809628,7.87746170678337,1874.7264770240702,1863.056163384391,11.670313639679067,14.587892049598834,13.384390955506928,"Hyogo",28,2019,7,5484,2614,2624
"兵庫","2019-08-01",1429.9051787016776,1422.2100656455143,7.695113056163384,1870.3683442742524,1858.7709700948215,11.597374179431071,11.50619985412108,13.36615609044493,"Hyogo",28,2019,8,5484,2614,2624
"兵庫","2019-09-01",1428.5193289569656,1420.6236323851203,7.895696571845369,1867.6148796498908,1856.1269146608315,11.487964989059082,11.980306345733041,12.563822027716995,"Hyogo",28,2019,9,5484,2614,2624
"兵庫","2019-10-01",1430.2334062727934,1422.8847556528083,7.3486506199854125,1868.6907366885484,1858.0415754923415,10.649161196207148,14.277899343544858,13.183807439824946,"Hyogo",28,2019,10,5484,2614,2624
"兵庫","2019-11-01",1429.6134208606857,1422.53829321663,7.075127644055435,1865.4449307075129,1855.4886943836614,9.956236323851202,12.563822027716995,12.527352297592998,"Hyogo",28,2019,11,5484,2614,2624
"兵庫","2019-12-01",1429.4310722100656,1422.3741794310722,7.0568927789934355,1865.9190371991247,1855.9263311451496,9.992706053975201,12.345003646973012,13.49380014587892,"Hyogo",28,2019,12,5484,2614,2624
"兵庫","2020-01-01",1432.272228320527,1425.1189169410902,7.153311379436516,1868.6242224661544,1858.3607757043542,10.26344676180022,11.672155140870839,13.812660080497622,"Hyogo",28,2020,1,5466,2605,2861
