"unemp_benefit_number_total","unemp_benefit_number_male","unemp_benefit_number_female","unemp_benefit_yen_total","unemp_benefit_yen_male","unemp_benefit_yen_female","id","date","year","prefec_kanji","prefec"
2138,821,1317,215964293,92682854,123281439,31,"2017-07-01",2017,"鳥取","Tottori"
2316,929,1387,227544872,103758296,123786576,32,"2017-07-01",2017,"島根","Shimane"
6422,2456,3966,675757691,297381802,378375889,33,"2017-07-01",2017,"岡山","Okayama"
9668,3462,6206,1041655928,433000748,608655180,34,"2017-07-01",2017,"広島","Hiroshima"
4265,1534,2731,473794579,196934809,276859770,35,"2017-07-01",2017,"山口","Yamaguchi"
2603,1076,1527,281709135,128656238,153052897,36,"2017-07-01",2017,"徳島","Tokushima"
3407,1268,2139,353063696,153181643,199882053,37,"2017-07-01",2017,"香川","Kagawa"
4431,1709,2722,485219120,217059964,268159156,38,"2017-07-01",2017,"愛媛","Ehime"
3147,1170,1977,322340118,134046475,188293643,39,"2017-07-01",2017,"高知","Kochi"
20149,7175,12974,2286348919,941806978,1344541941,40,"2017-07-01",2017,"福岡","Fukuoka"
3251,1152,2099,336721048,140076307,196644741,41,"2017-07-01",2017,"佐賀","Saga"
5437,1935,3502,540537606,224626770,315910836,42,"2017-07-01",2017,"長崎","Nagasaki"
8286,2972,5314,844369666,350056790,494312876,43,"2017-07-01",2017,"熊本","Kumamoto"
4869,1703,3166,499987236,209050226,290937010,44,"2017-07-01",2017,"大分","Oita"
4489,1623,2866,441125334,188449854,252675480,45,"2017-07-01",2017,"宮崎","Miyazaki"
6664,2434,4230,671804847,292703128,379101719,46,"2017-07-01",2017,"鹿児島","Kagoshima"
5024,2052,2972,559108749,256012557,303096192,47,"2017-07-01",2017,"沖縄","Okinawa"
430497,165079,265418,54722736034,24238103338,30484632696,99,"2017-08-01",2017,"全国","zenkoku"
21802,7256,14546,2556477868,1004734760,1551743108,1,"2017-08-01",2017,"北海道","Hokkaido"
5805,2225,3580,682692699,310279409,372413290,2,"2017-08-01",2017,"青森","Aomori"
4670,1829,2841,565929904,252985082,312944822,3,"2017-08-01",2017,"岩手","Iwate"
8401,3150,5251,1024687616,454670190,570017426,4,"2017-08-01",2017,"宮城","Miyagi"
3910,1568,2342,443324203,203974583,239349620,5,"2017-08-01",2017,"秋田","Akita"
3735,1454,2281,466283612,211276711,255006901,6,"2017-08-01",2017,"山形","Yamagata"
7225,3157,4068,935566615,470583895,464982720,7,"2017-08-01",2017,"福島","Fukushima"
8412,3401,5011,1127720264,535743724,591976540,8,"2017-08-01",2017,"茨城","Ibaraki"
6213,2630,3583,796852868,388718859,408134009,9,"2017-08-01",2017,"栃木","Tochigi"
5630,2266,3364,720989750,339436346,381553404,10,"2017-08-01",2017,"群馬","Gunma"
20791,8831,11960,2859932505,1401035169,1458897336,11,"2017-08-01",2017,"埼玉","Saitama"
17269,7029,10240,2397704915,1127993084,1269711831,12,"2017-08-01",2017,"千葉","Chiba"
39719,15794,23925,5652190931,2484859132,3167331799,13,"2017-08-01",2017,"東京","Tokyo"
26814,11257,15557,3681897393,1775736486,1906160907,14,"2017-08-01",2017,"神奈川","Kanagawa"
7657,2875,4782,894150594,381498896,512651698,15,"2017-08-01",2017,"新潟","Niigata"
3143,1151,1992,390784673,162545760,228238913,16,"2017-08-01",2017,"富山","Toyama"
3883,1368,2515,478716597,191513840,287202757,17,"2017-08-01",2017,"石川","Ishikawa"
2332,834,1498,286469870,119015927,167453943,18,"2017-08-01",2017,"福井","Fukui"
2464,954,1510,305378892,135563438,169815454,19,"2017-08-01",2017,"山梨","Yamanashi"
7007,2697,4310,857259615,377062670,480196945,20,"2017-08-01",2017,"長野","Nagano"
6023,2307,3716,743367437,332409280,410958157,21,"2017-08-01",2017,"岐阜","Gifu"
11847,4788,7059,1477869075,684144908,793724167,22,"2017-08-01",2017,"静岡","Shizuoka"
22010,8390,13620,2921715967,1273069959,1648646008,23,"2017-08-01",2017,"愛知","Aichi"
6541,2495,4046,805383508,349928642,455454866,24,"2017-08-01",2017,"三重","Mie"
5148,1935,3213,662513046,288048861,374464185,25,"2017-08-01",2017,"滋賀","Shiga"
9129,3341,5788,1152621956,493193845,659428111,26,"2017-08-01",2017,"京都","Kyoto"
31160,11595,19565,3943177145,1682304368,2260872777,27,"2017-08-01",2017,"大阪","Osaka"
20274,7509,12765,2622396200,1135100465,1487295735,28,"2017-08-01",2017,"兵庫","Hyogo"
4601,1887,2714,563393044,269788883,293604161,29,"2017-08-01",2017,"奈良","Nara"
